ID,Source,Target,Type,Label,Weight,TimeInterval,Edgecol
1342,1057,1158,Directed,,0.010158235,"[2021,2024)",NULL
1343,1017,1159,Directed,,0.010893248,"[2021,2024)",NULL
1344,1060,1160,Directed,,0.001334174,"[2021,2024)",NULL
1345,1089,1161,Directed,,0.005727419,"[2021,2024)",NULL
1346,1084,1162,Directed,,0.002536191,"[2021,2024)",NULL
1347,995,1163,Directed,,0.003992397,"[2021,2024)",NULL
1348,1068,1164,Directed,,0.00878323,"[2020,2024)",NULL
1349,1082,1165,Directed,,0.001294296,"[2021,2024)",NULL
1350,1065,1166,Directed,,0.001899623,"[2021,2024)",NULL
1351,1031,1167,Directed,,0.003209362,"[2021,2021)",NULL
1352,997,1168,Directed,,0.001239476,"[2021,2024)",NULL
1353,1063,1169,Directed,,8.21E-04,"[2021,2024)",NULL
1354,1035,1170,Directed,,0.001001634,"[2021,2024)",NULL
1355,982,1171,Directed,,5.92E-04,"[2021,2021)",NULL
1356,1045,1172,Directed,,0.001971129,"[2021,2024)",NULL
1357,1125,1173,Directed,,0.003443218,"[2022,2024)",NULL
1358,1105,1174,Directed,,0.001656315,"[2022,2024)",NULL
1359,1111,1175,Directed,,0.003721472,"[2022,2024)",NULL
1360,1132,1176,Directed,,0.003221228,"[2022,2024)",NULL
1361,1143,1177,Directed,,0.00391063,"[2022,2024)",NULL
1362,1104,1178,Directed,,0.002139897,"[2022,2024)",NULL
1363,1115,1179,Directed,,0.003313347,"[2022,2024)",NULL
1364,1108,1180,Directed,,0.003595888,"[2022,2024)",NULL
1365,1110,1181,Directed,,0.002025899,"[2022,2024)",NULL
1366,1129,1182,Directed,,0.003090193,"[2022,2024)",NULL
1367,1099,1183,Directed,,0.001719547,"[2022,2024)",NULL
1368,1138,1184,Directed,,0.006678839,"[2022,2024)",NULL
1369,1141,1185,Directed,,0.005875608,"[2022,2024)",NULL
1370,1123,1186,Directed,,0.002086686,"[2022,2024)",NULL
1371,1130,1187,Directed,,0.004918571,"[2022,2024)",NULL
1372,1122,1188,Directed,,0.004671502,"[2022,2024)",NULL
1373,1114,1189,Directed,,0.004202606,"[2022,2024)",NULL
1374,1097,1190,Directed,,0.003688611,"[2022,2024)",NULL
1375,1040,1191,Directed,,0.008272655,"[2022,2024)",NULL
1376,1136,1192,Directed,,0.006185928,"[2022,2024)",NULL
1377,1113,1193,Directed,,0.00316574,"[2022,2024)",NULL
1378,1120,1194,Directed,,0.006377969,"[2022,2024)",NULL
1379,1152,1195,Directed,,0.008896025,"[2022,2024)",NULL
1380,1167,1196,Directed,,0.048065005,"[2022,2024)",NULL
1381,1135,1197,Directed,,0.005307057,"[2022,2024)",NULL
1382,1100,1198,Directed,,0.003801529,"[2022,2024)",NULL
1383,1096,1199,Directed,,9.49E-04,"[2022,2024)",NULL
1384,1149,1200,Directed,,0.027564013,"[2022,2024)",NULL
1385,1104,1201,Directed,,7.29E-04,"[2022,2024)",NULL
1386,1048,1202,Directed,,0.005828993,"[2022,2024)",NULL
1387,1118,1203,Directed,,0.002442303,"[2022,2024)",NULL
1388,1158,1204,Directed,,0.035600153,"[2022,2024)",NULL
1389,1050,1205,Directed,,0.008809366,"[2022,2024)",NULL
1390,1095,1206,Directed,,0.131825055,"[2022,2024)",NULL
1391,1139,1207,Directed,,0.002737515,"[2022,2024)",NULL
1392,1119,1208,Directed,,0.004708413,"[2022,2024)",NULL
1393,1109,1209,Directed,,0.003208927,"[2022,2024)",NULL
1394,1126,1210,Directed,,0.005895122,"[2022,2024)",NULL
1395,1145,1211,Directed,,0.010202737,"[2022,2024)",NULL
1396,1102,1212,Directed,,0.001109743,"[2022,2024)",NULL
1397,1136,1213,Directed,,0.004724803,"[2022,2024)",NULL
1398,1132,1214,Directed,,5.78E-04,"[2022,2024)",NULL
1399,1172,1215,Directed,,1.55E-04,"[2022,2024)",NULL
1400,1148,1216,Directed,,0.001646725,"[2022,2024)",NULL
1401,1045,1217,Directed,,0.003099916,"[2022,2024)",NULL
1402,1122,1218,Directed,,0.001623396,"[2022,2024)",NULL
1403,1114,1219,Directed,,0.001146477,"[2022,2024)",NULL
1404,1135,1220,Directed,,0.001029906,"[2022,2024)",NULL
1405,1125,1221,Directed,,0.002117854,"[2022,2024)",NULL
1406,1096,1222,Directed,,5.23E-04,"[2022,2024)",NULL
1407,1139,1223,Directed,,0.002874127,"[2022,2024)",NULL
1408,1051,1224,Directed,,0.006256111,"[2022,2024)",NULL
1409,1123,1225,Directed,,0.002594763,"[2022,2024)",NULL
1410,1108,1226,Directed,,0.006789306,"[2022,2024)",NULL
1411,1100,1227,Directed,,0.001902898,"[2022,2024)",NULL
1412,1126,1228,Directed,,9.91E-04,"[2022,2024)",NULL
1413,1102,1229,Directed,,7.49E-04,"[2022,2022)",NULL
1414,1130,1230,Directed,,0.001334655,"[2022,2024)",NULL
1415,1120,1231,Directed,,0.004535403,"[2022,2024)",NULL
1416,1119,1232,Directed,,0.0030816,"[2022,2024)",NULL
1417,1105,1233,Directed,,0.00726054,"[2022,2024)",NULL
1418,1196,1234,Directed,,0.008428284,"[2023,2024)",NULL
1419,1193,1235,Directed,,0.006138303,"[2023,2024)",NULL
1420,1208,1236,Directed,,0.006187773,"[2023,2024)",NULL
1421,1140,1237,Directed,,0.001699915,"[2023,2024)",NULL
1422,1197,1238,Directed,,0.010492875,"[2023,2024)",NULL
1423,1192,1239,Directed,,0.003381671,"[2023,2024)",NULL
1424,1184,1240,Directed,,0.003289174,"[2023,2024)",NULL
1425,1209,1241,Directed,,0.004761467,"[2023,2024)",NULL
1426,1214,1242,Directed,,0.050011812,"[2023,2024)",NULL
1427,1187,1243,Directed,,0.008789749,"[2023,2024)",NULL
1428,1203,1244,Directed,,0.006720369,"[2023,2024)",NULL
1429,1183,1245,Directed,,0.011139074,"[2023,2024)",NULL
1430,1210,1246,Directed,,0.005348757,"[2023,2024)",NULL
1431,1180,1247,Directed,,0.002924464,"[2023,2024)",NULL
1432,1208,1248,Directed,,0.001313466,"[2023,2024)",NULL
1433,1207,1249,Directed,,0.00580246,"[2023,2024)",NULL
1434,1189,1250,Directed,,0.006553718,"[2023,2024)",NULL
1435,1181,1251,Directed,,0.006377651,"[2023,2024)",NULL
1436,1188,1252,Directed,,0.004332228,"[2023,2024)",NULL
1437,1177,1253,Directed,,0.005065058,"[2023,2024)",NULL
1438,1120,1254,Directed,,0.007739903,"[2023,2024)",NULL
1439,1212,1255,Directed,,0.00782985,"[2023,2024)",NULL
1440,1199,1256,Directed,,0.008514292,"[2023,2024)",NULL
1441,1140,1257,Directed,,0.006047356,"[2023,2024)",NULL
1442,1178,1258,Directed,,0.004016379,"[2023,2024)",NULL
1443,1201,1259,Directed,,0.004789149,"[2023,2024)",NULL
1444,1120,1260,Directed,,0.002881509,"[2023,2024)",NULL
1445,1229,1261,Directed,,0.167762924,"[2023,2024)",NULL
1446,1186,1262,Directed,,0.005714711,"[2023,2024)",NULL
1447,1195,1263,Directed,,0.001081241,"[2023,2024)",NULL
1448,1184,1264,Directed,,0.005039136,"[2023,2024)",NULL
1449,1054,1265,Directed,,0.009326228,"[2023,2024)",NULL
1450,1202,1266,Directed,,0.00362453,"[2023,2024)",NULL
1451,1197,1267,Directed,,0.003358277,"[2023,2024)",NULL
1452,1189,1268,Directed,,0.005196359,"[2023,2024)",NULL
1453,1179,1269,Directed,,0.005108054,"[2023,2024)",NULL
1454,1192,1270,Directed,,0.003422051,"[2023,2024)",NULL
1455,1177,1271,Directed,,0.00182418,"[2023,2024)",NULL
1456,1210,1272,Directed,,0.002893425,"[2023,2024)",NULL
1457,1193,1273,Directed,,0.002062328,"[2023,2024)",NULL
1458,1199,1274,Directed,,0.003977961,"[2023,2024)",NULL
1459,1191,1275,Directed,,0.003777184,"[2023,2024)",NULL
1460,1234,1276,Directed,,0.028171093,"[2024,2024)",NULL
1461,1234,1277,Directed,,0.002288035,"[2024,2024)",NULL
1150,965,966,Directed,,0.006862966,"[2010,2024)",NULL
1151,965,967,Directed,,0.008278546,"[2011,2024)",NULL
1152,966,968,Directed,,0.004175657,"[2011,2024)",NULL
1153,965,969,Directed,,0.005997126,"[2012,2024)",NULL
1154,966,970,Directed,,0.003543119,"[2012,2016)",NULL
1155,967,971,Directed,,0.003262003,"[2012,2012)",NULL
1156,965,972,Directed,,0.005479525,"[2013,2024)",NULL
1157,968,973,Directed,,0.007976534,"[2013,2014)",NULL
1158,969,974,Directed,,0.00699377,"[2013,2024)",NULL
1159,971,975,Directed,,0.003244291,"[2013,2024)",NULL
1160,970,976,Directed,,0.006927323,"[2013,2024)",NULL
1161,966,977,Directed,,0.006009672,"[2013,2024)",NULL
1162,967,978,Directed,,0.001651265,"[2013,2024)",NULL
1163,970,979,Directed,,0.001625962,"[2013,2014)",NULL
1164,969,980,Directed,,0.036091084,"[2014,2024)",NULL
1165,972,981,Directed,,0.030013198,"[2014,2024)",NULL
1166,972,982,Directed,,0.029229389,"[2014,2024)",NULL
1167,965,983,Directed,,0.006050174,"[2014,2024)",NULL
1168,967,984,Directed,,4.42E-04,"[2014,2014)",NULL
1169,974,985,Directed,,0.004343098,"[2014,2018)",NULL
1170,966,986,Directed,,0.001278582,"[2014,2024)",NULL
1171,982,987,Directed,,0.004541847,"[2015,2024)",NULL
1172,978,988,Directed,,0.0057271,"[2015,2017)",NULL
1173,979,989,Directed,,0.017250791,"[2015,2024)",NULL
1174,979,990,Directed,,0.013736877,"[2015,2024)",NULL
1175,970,991,Directed,,0.011393495,"[2015,2024)",NULL
1176,968,992,Directed,,0.004411588,"[2015,2024)",NULL
1177,977,993,Directed,,0.002240846,"[2015,2017)",NULL
1178,985,994,Directed,,0.009925888,"[2015,2024)",NULL
1179,967,995,Directed,,0.006569869,"[2015,2024)",NULL
1180,983,996,Directed,,0.020221631,"[2015,2024)",NULL
1181,977,997,Directed,,0.002322024,"[2015,2024)",NULL
1182,966,998,Directed,,0.00297539,"[2015,2024)",NULL
1183,980,999,Directed,,0.008907331,"[2015,2018)",NULL
1184,965,1000,Directed,,5.68E-04,"[2015,2016)",NULL
1185,997,1001,Directed,,0.003279953,"[2016,2024)",NULL
1186,989,1002,Directed,,0.004592952,"[2016,2018)",NULL
1187,988,1003,Directed,,0.005690026,"[2016,2024)",NULL
1188,968,1004,Directed,,0.006744711,"[2016,2018)",NULL
1189,969,1005,Directed,,0.046518906,"[2016,2024)",NULL
1190,988,1006,Directed,,0.006137346,"[2016,2024)",NULL
1191,983,1007,Directed,,0.011780102,"[2016,2024)",NULL
1192,999,1008,Directed,,0.004615346,"[2016,2016)",NULL
1193,981,1009,Directed,,0.008182819,"[2016,2016)",NULL
1194,972,1010,Directed,,0.010780704,"[2016,2024)",NULL
1195,992,1011,Directed,,0.00386318,"[2016,2024)",NULL
1196,987,1012,Directed,,0.002393958,"[2016,2018)",NULL
1197,981,1013,Directed,,0.002664668,"[2017,2024)",NULL
1198,1000,1014,Directed,,0.11967437,"[2017,2024)",NULL
1199,970,1015,Directed,,0.006314606,"[2017,2024)",NULL
1200,987,1016,Directed,,0.006767358,"[2017,2024)",NULL
1201,994,1017,Directed,,0.006019229,"[2017,2024)",NULL
1202,992,1018,Directed,,0.004641996,"[2017,2024)",NULL
1203,1001,1019,Directed,,0.004934306,"[2017,2017)",NULL
1204,974,1020,Directed,,0.004487924,"[2017,2017)",NULL
